PMC,PMCtitle,PMCabstract,Query_Protein,Query_Drug,ProteinNames,DrugNames,FuzzyMatchProtein,FuzzyMatchDrug,ExactMatchProtein,ExactMatchDrug,DrugMatch,CID,chain_of_thought_reasoning,drug,protein,effect,targeted_sentences,interaction_type,context
PMC10505742,Untargeted plasma metabolome identifies biomarkers in patients with extracranial arteriovenous malformations.,,P00533,XA,['Genes'],['XA'],[],[],['Genes'],['XA'],,135403800,"The document primarily focuses on the metabolic profiling of patients with extracranial arteriovenous malformations (AVM) and does not explicitly discuss the effects of specific drugs on proteins. However, the provided synonyms for the drug (Xanthopterin) and the protein (EGFR) were used to search for relevant interactions. Upon reviewing the document, there is no direct mention of Xanthopterin or its synonyms affecting EGFR or its synonyms. The document mainly discusses the identification of differential metabolites and metabolic pathways in AVM patients compared to healthy controls. Therefore, based on the content of the document, there is no extractable relation indicating the effect of Xanthopterin on EGFR.",Xanthopterin,EGFR,No effect mentioned,[],Neutral,The document focuses on the metabolic profiling of patients with extracranial arteriovenous malformations and does not discuss the effects of specific drugs on proteins.
PMC10530627,Synergistic interactions of cytarabine-adavosertib in leukemic cell lines proliferation and metabolomic endpoints.,"Drug synergy allows reduced dosing, side effects and tolerance. Optimization of drug synergy chemotherapy is fundamental in acute lymphocytic leukemia and other cancers. This study aimed to analyze the pharmacodynamic synergy between the anti-metabolite cytarabine and WEE1 inhibitor adavosertib on acute leukemia cell lines CCRF-CEM and Jurkat. In both cell lines analysis of concentration-inhibition curves of adavosertib-cytarabine combinations and synergy matrixes supported mutually synergistic drug interactions. Overall mean ( ± SD) synergy scores were higher in Jurkat than CCRF-CEM: Jurkat, ZIP 22.51 ± 1.1, Bliss 22.49 ± 1.1, HSA 23.44 ± 1.0, Loewe 14.16 ± 1.2; and, CCRF-CEM, ZIP 9.17 ± 1.9, Bliss 8.13 ± 2.1, HSA 11.48 ± 1.9 and Loewe 4.99 ± 1.8. Jurkat also surpassed CCRF-CEM in high-degree synergistic adavosertib-cytarabine interactions with mean across-models synergy values of ∼89.1% ± 2.9 for 63 nM cytarabine-97 nM adavosertib (91.4% inhibition synergy barometer). Combination sensitivity scores scatter plots confirmed combination's synergy efficacy. This combined approach permitted identification and prioritization of 63 nM cytarabine-97 nM adavosertib for multiple endpoints analysis. This combination did not affect PBMC viability, while exhibiting Jurkat selective synergy. Immunoblots also revealed Jurkat selective synergistically increased γH2AX phosphorylation, while CDC2 phosphorylation effects were attributed to adavosertib's WEE1 inhibition. In conclusion, the high synergistic efficacy combination of cytarabine (63 nM) and adavosertib (97 nM) was associated with remarkable alterations in metabolites related to the Krebs cycle in Jurkat. The metabolic pathways and processes are related to gluconeogenesis, amino acids, nucleotides, glutathione, electron transport and Warburg effect. All above relate to cell survival, apoptosis, and cancer progression. Our findings could pave the way for novel biomarkers in treatment, diagnosis, and prognosis of leukemia and other cancers.",P30291,PCA,['WEE1'],['PCA'],[],[],['WEE1'],['PCA'],,135403803,"The document discusses the synergistic interactions of cytarabine and adavosertib in leukemic cell lines, specifically focusing on their effects on various proteins and cellular processes. The key protein involved in the study is WEE1 (WEE1 G2 checkpoint kinase). The document details how adavosertib, a WEE1 inhibitor, affects the phosphorylation of CDC2, a downstream target of WEE1. The inhibition of WEE1 by adavosertib leads to a decrease in CDC2 phosphorylation, which is consistent with the expected outcome of WEE1 inhibition. This indicates that adavosertib effectively downregulates the activity of WEE1, leading to the abrogation of the G2-M checkpoint and promoting mitotic catastrophe and apoptosis in cancer cells. The targeted sentences were identified based on their explicit mention of the drug's effect on the protein.",Adavosertib,WEE1,"Adavosertib inhibits WEE1, leading to decreased phosphorylation of CDC2, abrogation of the G2-M checkpoint, and promotion of mitotic catastrophe and apoptosis in cancer cells.","['Immunoblots also revealed Jurkat selective synergistically increased γH2AX phosphorylation, while CDC2 phosphorylation effects were attributed to adavosertib’s WEE1 inhibition.', 'In turn, adavosertib, consistent with its WEE1 kinase inhibition, significantly decreased CDC2 phosphorylation when combined with cytarabine.']",Downregulation,"The study focuses on the synergistic interactions of cytarabine and adavosertib in leukemic cell lines, particularly in the context of acute lymphoblastic leukemia (ALL)."
PMC10638910,,Combination of,P05231,XA,"['VEGF', 'bFGF', 'HGF', 'VPF', 'BFGF']",['XA'],['VEGF'],[],"['VEGF', 'bFGF', 'HGF', 'VPF', 'BFGF']",['XA'],,135403800,"The document discusses the effects of the combination of Panax quinquefolium L. and Salvia miltiorrhiza Bunge (PS) on various proteins involved in angiogenesis in the context of acute myocardial infarction (AMI). The key proteins involved in the study are HIF-1α (Hypoxia-Inducible Factor 1-alpha) and VEGF (Vascular Endothelial Growth Factor). The document details how PS enhances angiogenesis by regulating the miR-155-5p/HIF-1α/VEGF axis. Specifically, PS inhibits the activation of the miR-155-5p/HIF-1α/VEGF pathway, which ultimately promotes angiogenesis. The document also mentions that PS significantly reduces the levels of miR-155-5p and HIF-1α while enhancing the levels of VEGF. This indicates that PS has a regulatory effect on these proteins, promoting angiogenesis and improving cardiac function in AMI rats.",Panax quinquefolium L. and Salvia miltiorrhiza Bunge,HIF-1α,"PS significantly reduces the levels of HIF-1α, thereby inhibiting its activation and promoting angiogenesis.","['Mechanistically, PS enhanced the expression of HGF and bFGF in serum, increased the levels of MVD and CD31 in myocardial tissues, and inhibited the activation of the miR-155-5p/HIF-1α/VEGF pathway, which ultimately promoted angiogenesis.', 'We found that, as expected, PS significantly reduced the levels of miR-155-5p (P < 0.05). Then, when compared with the sham group, the mRNA and protein expression levels of HIF-1α were significantly elevated, while the mRNA and protein levels of VEGF were obviously decreased in the AMI group (P < 0.05). Instead, PS and perindopril inhibited the mRNA and protein expression levels of HIF-1α and enhanced the levels of VEGF (P < 0.05) (P < 0.05).']",Downregulation,Acute Myocardial Infarction
PMC10662458,Mutant p53 murine oviductal epithelial cells induce progression of high-grade serous carcinoma and are most sensitive to simvastatin therapy in vitro and in vivo.,"High-grade serous carcinoma (HGSC) is the most common and aggressive subtype of epithelial ovarian cancer, characterized by gain-of-function TP53 mutations originating in the fallopian tube epithelium. Therapeutic intervention occurs at advanced metastatic disease, due to challenges in early-stage diagnosis, with common disease recurrence and therapy resistance despite initial therapy success. The mevalonate pathway is exploited by many cancers and is potently inhibited by statin drugs. Statins have shown anti-cancer activity in many, but not all cancers. Here, we investigated the role of p53 status in relation to mevalonate pathway signaling in murine oviductal epithelial (OVE) cells and identified OVE cell sensitivity to statin inhibition. We found that p53",P04637,PCA,"['TP53', 'P53', 'p53', 'TRP53', 'Genes']",['PCA'],['p53'],[],"['TP53', 'P53', 'p53', 'TRP53', 'Genes']",['PCA'],,135403803,"The document discusses the effects of simvastatin on p53 in the context of high-grade serous carcinoma (HGSC). The key protein involved in the study is p53, specifically the mutant p53 R175H variant. The document details how simvastatin treatment abrogates the effect of the mevalonate pathway upregulation driven by mutant p53 R175H, leading to decreased ovarian tumor weight and increased apoptosis in vivo. Additionally, simvastatin treatment resulted in increased cytoplasmic localization of HMG-CoA reductase in ovarian tumors. The document also mentions that simvastatin significantly reduced disease burden in an ovarian cancer model with increased mevalonate signaling. This indicates that simvastatin has a downregulating effect on the mevalonate pathway activity influenced by mutant p53 R175H, promoting anti-tumor effects and apoptosis.",Simvastatin,p53,"Simvastatin treatment abrogates the effect of the mevalonate pathway upregulation driven by mutant p53 R175H, leading to decreased ovarian tumor weight and increased apoptosis in vivo.","['Through orthotopic implantation to replicate the fallopian tube origin of HGSC, p53 R175H mutant cells upregulated the mevalonate pathway to drive progression to advanced-stage ovarian cancer, and simvastatin treatment abrogated this effect.', 'In vivo, simvastatin induced ovarian cancer disease regression through decreased primary ovarian tumor weight and increased apoptosis.', 'Simvastatin also significantly increased cytoplasmic localization of HMG-CoA reductase in ovarian tumors.', 'In our ovarian cancer model, where metastatic cells had increased mevalonate signaling, treatment with simvastatin significantly reduced disease burden.']",Downregulation,High-grade serous carcinoma (HGSC)
PMC10669250,A Network Pharmacology and Molecular-Docking-Based Approach to Identify the Probable Targets of Short-Chain Fatty-Acid-Producing Microbial Metabolites against Kidney Cancer and Inflammation.,"(1) Background: A large and diverse microbial population exists in the human intestinal tract, which supports gut homeostasis and the health of the host. Short-chain fatty acid (SCFA)-secreting microbes also generate several metabolites with favorable regulatory effects on various malignancies and immunological inflammations. The involvement of intestinal SCFAs in kidney diseases, such as various kidney malignancies and inflammations, has emerged as a fascinating area of study in recent years. However, the mechanisms of SCFAs and other metabolites produced by SCFA-producing bacteria against kidney cancer and inflammation have not yet been investigated. (2) Methods: We considered 177 different SCFA-producing microbial species and 114 metabolites from the gutMgene database. Further, we used different online-based database platforms to predict 1890 gene targets associated with metabolites. Moreover, DisGeNET, OMIM, and Genecard databases were used to consider 13,104 disease-related gene targets. We used a Venn diagram and various protein-protein interactions (PPIs), KEGG pathways, and GO analyses for the functional analysis of gene targets. Moreover, the subnetwork of protein-protein interactions (through string and cytoscape platforms) was used to select the top 20% of gene targets through degree centrality, betweenness centrality, and closeness centrality. To screen the possible candidate compounds, we performed an analysis of the ADMET (absorption, distribution, metabolism, excretion, and toxicity) properties of metabolites and then found the best binding affinity using molecular docking simulation. (3) Results: Finally, we found the key gene targets that interact with suitable compounds and function against kidney cancer and inflammation, such as MTOR (with glycocholic acid), PIK3CA (with 11-methoxycurvularin, glycocholic acid, and isoquercitrin), IL6 (with isoquercitrin), PTGS2 (with isoquercitrin), and IGF1R (with 2-amino-1-methyl-6-phenylimidazo[4,5-b] pyridine, isoquercitrin), showed a lower binding affinity. (4) Conclusions: This study provides evidence to support the positive effects of SCFA-producing microbial metabolites that function against kidney cancer and inflammation and makes integrative research proposals that may be used to guide future studies.",P05231,XA,"['IL-6', 'IL6']",['XA'],[],[],"['IL-6', 'IL6']",['XA'],,135403800,"The document discusses the effects of various short-chain fatty acid (SCFA)-producing microbial metabolites on kidney cancer and inflammation. Among the key proteins involved in the study is IL6 (Interleukin-6). The document details how isoquercitrin, a microbial metabolite, significantly reduces the mRNA expression of proinflammatory factors such as IL6. This indicates that isoquercitrin has a downregulating effect on IL6, which is associated with its anti-inflammatory properties. The targeted sentences were identified based on their explicit mention of isoquercitrin's effect on IL6.",Isoquercitrin,IL6,"Isoquercitrin significantly reduces the mRNA expression of IL6, indicating its anti-inflammatory properties.","['Further, isoquercitrin dramatically reduces the mRNA expression of proinflammatory factors such as tumor necrosis factor-, interleukin (IL)-1, IL-6, monocyte chemoattractant protein-1, and prostaglandin E synthase 2 (PTGES2).']",Downregulation,The study focuses on the anti-inflammatory properties of SCFA-producing microbial metabolites in the context of kidney cancer and inflammation.
PMC10143525,"Novel 2-Amino-1,4-Naphthoquinone Derivatives Induce A549 Cell Death through Autophagy.","A series of 1,4-naphthoquinone derivatives containing were synthesized as anti-cancer agents and the crystal structure of compound",P00533,XA,"['Epidermal growth factor receptor', 'EGFR', 'Genes', 'epidermal growth factor receptor']",['XA'],[],[],"['Epidermal growth factor receptor', 'EGFR', 'Genes', 'epidermal growth factor receptor']",['XA'],,135403800,"The document discusses the effects of a series of 1,4-naphthoquinone derivatives, specifically compound 5i, on A549 cells. The key protein involved in the study is EGFR (Epidermal Growth Factor Receptor). The document details how compound 5i induces autophagy in A549 cells by promoting the recycling of EGFR and signal transduction, leading to the activation of the EGFR signaling pathway. Additionally, the binding mode between compound 5i and EGFR was identified through molecular docking, showing specific interactions that influence the EGFR-associated pathway. The document also mentions that compound 5i significantly up-regulates the expression of p-Akt and down-regulates EGFR protein expression, which is distinct from the effects of gefitinib, a known EGFR inhibitor. This indicates that compound 5i has a unique mechanism of action on the EGFR pathway, promoting autophagy and potentially enhancing anti-tumor activity.","2-Amino-1,4-Naphthoquinone Derivative (Compound 5i)",EGFR (Epidermal Growth Factor Receptor),"Compound 5i significantly up-regulates the expression of p-Akt and down-regulates EGFR protein expression, promoting autophagy and potentially enhancing anti-tumor activity.","['Compound 5i significantly up-regulated the expressions of p-Akt, which were translated by tumor suppress genes, and the levels of p-EGFR and Akt remained unchanged regardless of treatment with 5i or gefitinib at 10 μM.', 'Interestingly, EGFR protein expression was down-regulated remarkably after treatment with 5i (10 μM), which lower three times lower than the control group.']",Downregulation,"The study focuses on the anti-tumor activity of 1,4-naphthoquinone derivatives, particularly compound 5i, in A549 cells, and its mechanism involving the EGFR signaling pathway."
PMC10210024,"Synthesis, In Silico Studies, and In Vitro Anti-Inflammatory Activity of Novel Imidazole Derivatives Targeting p38 MAP Kinase.",A series of eight novel,P28482,XA,"['p38', 'ERK', 'RK']",['XA'],['p38'],[],"['p38', 'ERK', 'RK']",['XA'],,135403800,"To extract the effects of the drug on the protein, I first identified the drug and protein names mentioned in the document. The document discusses novel imidazole derivatives (AA1–AA8) and their effects on p38 MAP kinase. I focused on the sections detailing the synthesis, characterization, and evaluation of these compounds, particularly their anti-inflammatory activity and p38 MAP kinase inhibitory activity. I noted the specific compound AA6, which showed significant p38 MAP kinase inhibitory activity. The targeted sentences were identified based on their explicit mention of the drug's effect on the protein.",AA6,p38 MAP kinase,AA6 possesses considerable p38 kinase inhibitory anti-inflammatory activity with an IC50 value of 403.57 ± 6.35 nM compared to the prototype drug adezmapimod (SB203580) with an IC50 value of 222.44 ± 5.98 nM.,['The compound AA6 possesses considerable p38 kinase inhibitory anti-inflammatory activity with an IC50 value of 403.57 ± 6.35 nM compared to the prototype drug adezmapimod (SB203580) with an IC50 value of 222.44 ± 5.98 nM.'],Downregulation,
PMC10456557,Effects of Pera Orange Juice and Moro Orange Juice in Healthy Rats: A Metabolomic Approach.,"Cardiovascular disease is a leading cause of death worldwide. Heart failure is a cardiovascular disease with high prevalence, morbidity, and mortality. Several natural compounds have been studied for attenuating pathological cardiac remodeling. Orange juice has been associated with cardiovascular disease prevention by attenuating oxidative stress. However, most studies have evaluated isolated phytochemicals rather than whole orange juice and usually under pathological conditions. In this study, we evaluated plasma metabolomics in healthy rats receiving Pera or Moro orange juice to identify possible metabolic pathways and their effects on the heart.",P16035,PCA,['TIMP-2'],['PCA'],[],[],['TIMP-2'],['PCA'],,135403803,"The document evaluates the effects of Pera orange juice (PO) and Moro orange juice (MO) on various proteins in healthy rats. Among the proteins studied, TIMP-2 (Tissue Inhibitor of Metalloproteinases 2) is mentioned. The study specifically measures the expression levels of TIMP-2 in the context of orange juice consumption. The results indicate that the protein expression of TIMP-2 did not differ significantly between the control group and the groups receiving Pera or Moro orange juice. This suggests that the ingestion of either type of orange juice does not affect the expression of TIMP-2 in healthy rats. Therefore, the interaction type is classified as 'Neutral'.",Pera orange juice,TIMP-2,The ingestion of Pera orange juice does not affect the expression of TIMP-2 in healthy rats.,"['Protein expression of type I collagen, TIMP-2, TNF-α, MMP-9, and TIMP-4 did not differ between groups.']",Neutral,The study evaluates the effects of Pera orange juice on the expression of TIMP-2 in healthy rats.
PMC10695158,Effects of N-butanol extract of Amygdalus mongolica on rats with bleomycin-induced pulmonary fibrosis based on metabolomics.,"Pulmonary fibrosis (PF) is a major public health issue with limited treatment options. As the active ingredient of the n-butanol extract of Amygdalus mongolica (BUT), amygdalin inhibits PF. However, its mechanisms of action are unclear and need further verification. Therefore, the purpose of the present studies was to investigate the anti-fibrotic effects of BUT on PF by serum metabolomics and the transforming growth factor β (TGF-β) pathway. Sixty male Sprague-Dawley rats were randomly divided into control, untreated PF, prednisone-treated (5 mg/kg), and BUT-treated (1.75, 1.25, 0.75 g/kg) groups, and the respective drugs were administered intragastrically for 21 days. The serum metabolomics profiles were determined by ultra-performance liquid chromatography quadrupole time-of-flight mass spectrometry (UPLC-QTOF/MS) and metabolism network analysis. The expression of TGF-β1, Smad-3, Smad-7, and α-smooth muscle actin (α-SMA) was measured using a real-time polymerase chain reaction in the lung tissue. BUT significantly alleviated fibrosis by reducing the mRNA expressions of TGF-β1 (from 1.73 to 1.13), Smad-3 (from 2.01 to 1.19), and α-SMA (from 2.14 to 1.19) and increasing that of Smad7 (from 0.17 to 0.62). Twenty-eight potential biomarkers associated with PF were identified. In addition, four key biomarkers were restored to baseline levels following BUT treatment, with the lowest dose showing optimal effect. Furthermore, A. mongolica BUT was found to improve PF by the pentose phosphate pathway and by taurine, hypotaurine, and arachidonic acid metabolism. These findings revealed the mechanism of A. mongolica BUT antifibrotic effects and metabolic activity in PF rats and provided the experimental basis for its clinical application.",P84022,PCA,"['Smad3', 'SMAD3']",['PCA'],[],[],"['Smad3', 'SMAD3']",['PCA'],,135403803,"The document discusses the effects of the n-butanol extract of Amygdalus mongolica (BUT) on rats with bleomycin-induced pulmonary fibrosis. The key protein involved in the study is Smad3, which is part of the TGF-β1/Smads signaling pathway. The document details how BUT treatment significantly reduces the mRNA expression of Smad3 in the lung tissue of treated rats compared to the model group. This indicates that BUT has a downregulating effect on Smad3 expression, which is associated with its anti-fibrotic properties. The targeted sentences explicitly mention the reduction in Smad3 mRNA expression due to BUT treatment, providing clear evidence of the drug's effect on the protein.",N-butanol extract of Amygdalus mongolica,Smad3,"BUT significantly reduces the mRNA expression of Smad3 in the lung tissue of treated rats, indicating a downregulating effect.","['BUT significantly alleviated fibrosis by reducing the mRNA expressions of TGF-β1 (from 1.73 to 1.13), Smad-3 (from 2.01 to 1.19), and α-SMA (from 2.14 to 1.19) and increasing that of Smad7 (from 0.17 to 0.62).', 'Furthermore, determination of the mRNA levels of TGF-β1, Smad-3, Smad-7, and α-SMA after PED and BUT treatments showed that the mRNA expression of Smad-7 was significantly increased, whereas that of TGF-β1, Smad-3, and α-SMA was significantly inhibited compared with the MOD group (P<0.05).']",Downregulation,"The study investigates the anti-fibrotic effects of BUT on bleomycin-induced pulmonary fibrosis in rats, focusing on the TGF-β1/Smads signaling pathway."
