PMC,PMCtitle,PMCabstract,Query_Protein,Query_Drug,ProteinNames,DrugNames,FuzzyMatchProtein,FuzzyMatchDrug,ExactMatchProtein,ExactMatchDrug,DrugMatch,CID,chain_of_thought_reasoning,drug,protein,effect,targeted_sentences,interaction_type,context
PMC10767420,Genotypic variants of the tetrahydrobiopterin (BH4) biosynthesis genes in patients with hyperphenylalaninemia from different regions of Iran.,"Hyperphenylalaninemia (HPA) is a metabolic disorder classified into phenylalanine-4-hydroxylase (PAH) and non-PAH deficiency. The latter is produced by mutations in genes involved in the tetrahydrobiopterin (BH4) biosynthesis pathway and DNAJC12 pathogenetic variants. The BH4 metabolism, including de novo biosynthesis involved genes (i.e., guanosine 5'-triphosphate cyclohydrolase I (GTPCH/GCH1), sepiapterin reductase (SR/SPR), 6-pyruvoyl-tetrahydropterin synthase (PTPS/PTS)), and two genes that play roles in cofactor regeneration pathway (i.e., dihydropteridine reductase (DHPR/QDPR) and pterin-4α-carbinolamine dehydratase (PCD/PCBD1)). The subsequent systemic hyperphenylalaninemia and monoamine neurotransmitter deficiency lead to neurological consequences. The high rate of consanguineous marriages in Iran substantially increases the incidence of BH4 deficiency.",P00533,Pterin,['Genes'],['Pterin'],[],[],['Genes'],['Pterin'],,135398660,"The document discusses the effects of tetrahydrobiopterin (BH4) on various proteins involved in the biosynthesis and metabolism of BH4. Specifically, it mentions that BH4 is an essential cofactor for phenylalanine hydroxylase (PAH), tyrosine hydroxylase, tryptophan hydroxylase, alkylglycerol monooxygenase, and nitric oxide synthase. The document details how BH4 deficiency leads to increased blood phenylalanine levels and cognitive and motor disturbances due to reduced syntheses of dopamine and serotonin. Additionally, it mentions that treatment with BH4 results in significant and sustained reductions in blood phenylalanine concentrations and increased dietary phenylalanine tolerance in responsive PKU patients. This indicates that BH4 has a regulatory effect on PAH, enhancing its activity and stabilizing its activated form.",Tetrahydrobiopterin (BH4),Phenylalanine hydroxylase (PAH),"BH4 enhances the activity of PAH and stabilizes its activated form, leading to significant and sustained reductions in blood phenylalanine concentrations and increased dietary phenylalanine tolerance in responsive PKU patients.","['BH4 (6R‐L‐erythro‐5,6,7,8‐tetrahydrobiopterin) is the essential cofactor of Phe, tyrosine, the two isoforms of tryptophan hydroxylase (TPH 1/2), alkylglycerol monooxygenase (AGMO), and the three isoforms of nitric oxide synthase (NOS 1–3).', 'Treatment with BH4 resulted in significant (at least 30%) and sustained reductions in Phe blood concentrations and increased dietary Phe tolerance in responsive PKU patients.']",Upregulation,"The context of the health-care scenario is the treatment of phenylketonuria (PKU) and hyperphenylalaninemia (HPA) in patients, where BH4 is used to manage blood phenylalanine levels and improve dietary tolerance."
PMC10900626,Dynamic changes of rumen microbiota and serum metabolome revealed increases in meat quality and growth performances of sheep fed bio-fermented rice straw.,"Providing high-quality roughage is crucial for improvement of ruminant production because it is an essential component of their feed. Our previous study showed that feeding bio-fermented rice straw (BF) improved the feed intake and weight gain of sheep. However, it remains unclear why feeding BF to sheep increased their feed intake and weight gain. Therefore, the purposes of this research were to investigate how the rumen microbiota and serum metabolome are dynamically changing after feeding BF, as well as how their changes influence the feed intake, digestibility, nutrient transport, meat quality and growth performances of sheep. Twelve growing Hu sheep were allocated into 3 groups: alfalfa hay fed group (AH: positive control), rice straw fed group (RS: negative control) and BF fed group (BF: treatment). Samples of rumen content, blood, rumen epithelium, muscle, feed offered and refusals were collected for the subsequent analysis.",P20248,PCA,['Cyclin A'],['PCA'],[],[],['Cyclin A'],['PCA'],,135403803,"The document discusses the effects of bio-fermented rice straw (BF) on various parameters in sheep, including the expression of specific genes related to nutrient transport and cell proliferation. Among these genes, Cyclin A2 is mentioned as being upregulated in sheep fed BF. The document provides evidence that feeding BF to sheep leads to the upregulation of Cyclin A2, which is associated with improved cell proliferation in the rumen epithelium. This upregulation is part of a broader set of changes that contribute to enhanced feed digestion, growth rate, and meat quality in sheep.",Bio-fermented rice straw (BF),Cyclin A2,"Feeding bio-fermented rice straw (BF) to sheep upregulates the expression of Cyclin A2, which is associated with improved cell proliferation in the rumen epithelium.","['The histomorphology (height, width, area and thickness) of rumen papillae and gene expression for carbohydrate transport (MCT1), tight junction (claudin-1, claudin-4), and cell proliferation (CDK4, Cyclin A2, Cyclin E1) were improved (P < 0.05) in sheep fed BF.', 'Up-regulation of genes related to cell proliferation (CDK-4, CyclinA2, CyclinE1) and down-regulation of genes related to cell apoptosis (caspase-8, Bad) observed in BF group is supported by the report, where feeding high-grain diet could promote the development of rumen epithelium, which is achieved by enhancing the cell proliferation and inhibiting the cell apoptosis of rumen epithelium.']",Upregulation,"The study investigates the effects of feeding bio-fermented rice straw (BF) on the growth performance, meat quality, and various biochemical and microbiological parameters in sheep."
PMC10923034,"Treatment patterns and clinical outcomes of chidamide combined with endocrine therapy in hormone receptor-positive, HER2-negative metastatic breast cancer: A real-world multicenter study.","Chidamide is a selective histone deacetylase inhibitor approved for patients with hormone receptor (HoR)-positive and HER2-negative metastatic breast cancer (MBC). We aimed to investigate the efficacy, safety, and treatment patterns of chidamide and identify clinicopathological factors that predict the efficacy of chidamide in real-world scenarios.",P00533,XA,"['Epidermal growth factor receptor', 'ERBB', 'epidermal growth factor receptor']",['XA'],[],[],"['Epidermal growth factor receptor', 'ERBB', 'epidermal growth factor receptor']",['XA'],,135403800,"The document discusses the effects of chidamide, a selective histone deacetylase inhibitor, on hormone receptor-positive, HER2-negative metastatic breast cancer. Chidamide acts through epigenetic regulations to induce cell cycle arrest and apoptosis in tumor cells. It impacts ER downstream transcription factors, triggers parallel pathways independent of estrogen/ER that promote tumor growth, and is implicated with endocrine resistance. The document also mentions that chidamide enhances antibody-dependent cell-mediated cytotoxicity and cytotoxic T cell-mediated anti-tumor immunity, and reverses epithelial-mesenchymal phenotype transformation (EMT) of tumor cells. Specifically, the document states that chidamide impacts the estrogen receptor (ER) pathway, which is crucial in hormone receptor-positive breast cancer. This indicates that chidamide has a downregulating effect on the ER pathway, contributing to its anti-tumor activity.",Chidamide,Estrogen Receptor (ER),"Chidamide impacts the ER downstream transcription factors, triggers parallel pathways independent of estrogen/ER that promote tumor growth, and is implicated with endocrine resistance. It also enhances antibody-dependent cell-mediated cytotoxicity and cytotoxic T cell-mediated anti-tumor immunity, and reverses epithelial-mesenchymal phenotype transformation (EMT) of tumor cells.","['Chidamide acts through epigenetic regulations to induce cell cycle arrest and apoptosis in tumor cells.', 'Epigenetic reprogramming impacts ER downstream transcription factors, triggers parallel pathways independent of estrogen/ER that promote tumor growth, and is implicated with endocrine resistance.', 'Chidamide has also been reported to enhance antibody-dependent cell-mediated cytotoxicity and cytotoxic T cell-mediated anti-tumor immunity, and reverse epithelial-mesenchymal phenotype transformation (EMT) of tumor cells.']",Downregulation,"The study focuses on hormone receptor-positive, HER2-negative metastatic breast cancer."
PMC10959701,"Laminin 511-E8, an autoantigen in IgG4-related cholangitis, contributes to cholangiocyte protection.","IgG4-related cholangitis (IRC) is the hepatobiliary manifestation of IgG4-related disease. Anti-laminin 511-E8 autoantibodies have been identified in its pancreatic manifestation. Laminin 511-E8 promotes endothelial barrier function, lymphocyte recruitment, and cholangiocyte differentiation. Here, we investigate anti-laminin 511-E8 autoantibody presence in IRC, and mechanisms via which laminin 511 may contribute to cholangiocyte protection.",P11047,PCA,"['LAMC1', 'Laminin', 'gamma 1']",['PCA'],['Laminin'],[],"['LAMC1', 'Laminin', 'gamma 1']",['PCA'],,135403803,"The document investigates the role of Laminin 511-E8 in cholangiocyte protection, particularly in the context of IgG4-related cholangitis (IRC). The study examines the effects of recombinant Laminin 511-E8 on human H69 cholangiocytes. The key findings indicate that treatment with recombinant Laminin 511-E8 leads to differential expression of genes involved in secretion, barrier function, and inflammation. Specifically, Laminin 511-E8 treatment decreased toxic bile acid permeation and dose-dependently alleviated GCDC-induced apoptosis. This suggests that Laminin 511-E8 enhances cholangiocellular barrier function and protects cholangiocytes against toxic bile acids and bile acid-induced apoptosis. The targeted sentences from the document provide detailed evidence of these effects.",Laminin 511-E8,Laminin subunit gamma-1,"Laminin 511-E8 treatment decreased toxic bile acid permeation and dose-dependently alleviated GCDC-induced apoptosis, enhancing cholangiocellular barrier function and protecting cholangiocytes against toxic bile acids and bile acid-induced apoptosis.","['Recombinant laminin 511-E8 led to differential expression of genes involved in secretion, barrier function, and inflammation.', 'Laminin 511-E8 treatment decreased toxic bile acid permeation and dose-dependently alleviated GCDC-induced apoptosis.', 'Laminin 511 enhances cholangiocellular barrier function and protects cholangiocytes against T lymphocyte-induced barrier dysfunction, toxic bile acid permeation and bile acid-induced apoptosis.']",Upregulation,"The study focuses on the protective role of Laminin 511-E8 in cholangiocytes, particularly in the context of IgG4-related cholangitis (IRC)."
PMC10997670,Proteomic analysis of DEN and CCl,"Hepatocellular carcinoma (HCC) seriously threatens human health, mostly developed from liver fibrosis or cirrhosis. Since diethylnitrosamine (DEN) and carbon tetrachloride (CCl",Q15796,PCA,"['Smad2', 'Mothers against decapentaplegic homolog 2', 'SMAD2']",['PCA'],[],[],"['Smad2', 'Mothers against decapentaplegic homolog 2', 'SMAD2']",['PCA'],,135403803,"The document provides a detailed analysis of the DEN and CCl4-induced hepatocellular carcinoma (HCC) mouse model. The key proteins involved in the study include SMAD2, which is highlighted as a potential prognostic protein. The document discusses the upregulation of SMAD2 in the context of the DEN and CCl4-induced HCC mouse model. Specifically, it mentions that SMAD2 is significantly highly expressed in tumor tissues of DEN and CCl4-induced HCC mice, and this high expression is associated with poor prognosis in HCC. This indicates that the drug combination of DEN and CCl4 leads to the upregulation of SMAD2 in the HCC mouse model.",Diethylnitrosamine (DEN) and Carbon tetrachloride (CCl4),SMAD2,"SMAD2 is significantly highly expressed in tumor tissues of DEN and CCl4-induced HCC mice, and this high expression is associated with poor prognosis in HCC.","['SMAD2 was significantly highly expressed in tumor tissues of DEN and CCl4-induced HCC mice.', 'High expression of SMAD2 was associated with poor prognosis of HCC.']",Upregulation,Hepatocellular carcinoma (HCC) mouse model
PMC10998944,Apoptosis Induction by New Coumarin Derivatives in a Mice Model of Breast Cancer.,"In the last decades, numerous studies have focused on the search for new agents to suppress the growth of cancer cells. In this study, we investigated the effect of two novel synthetic coumarin derivatives, namely",P00533,XA,"['P53', 'p53', 'COX-2', 'EGFR', 'Genes']",['XA'],['COX-2'],[],"['P53', 'p53', 'COX-2', 'EGFR', 'Genes']",['XA'],,135403800,"The document discusses the effects of two novel synthetic coumarin derivatives on breast cancer in a mouse model. The key proteins involved in the study are BCL-2, caspase-9, COX-2, and c-Myc. The document details how these coumarin compounds significantly alter the expression levels of these proteins. Specifically, the expression of caspase-9 is increased, while the expression of BCL-2, c-Myc, and COX-2 is decreased in all treated groups compared to the cancer control group. This indicates that the coumarin derivatives have a downregulating effect on BCL-2, c-Myc, and COX-2, and an upregulating effect on caspase-9, which are associated with the induction of apoptosis in breast cancer cells.","2-amino-4-(4-(2-hydroxyethoxy)-3-methoxyphenyl)-5-oxo-4H,5H-pyrano[3,2-c]coumarin-3-carbonitrile",BCL-2,"The expression of BCL-2 was decreased in all groups undergoing treatment with the coumarin derivative, which was significant compared to the cancer control group.","['The expression of BCL-2, c-Myc, and COX-2 was decreased in all groups undergoing treatment with coumarin derivatives and doxorubicin, which was significant compared to the cancer control group (P <0.05).']",Downregulation,Breast cancer treatment in a mouse model
PMC11001995,Dermal injury drives a skin to gut axis that disrupts the intestinal microbiome and intestinal immune homeostasis in mice.,"The composition of the microbial community in the intestine may influence the functions of distant organs such as the brain, lung, and skin. These microbes can promote disease or have beneficial functions, leading to the hypothesis that microbes in the gut explain the co-occurrence of intestinal and skin diseases. Here, we show that the reverse can occur, and that skin directly alters the gut microbiome. Disruption of the dermis by skin wounding or the digestion of dermal hyaluronan results in increased expression in the colon of the host defense genes Reg3 and Muc2, and skin wounding changes the composition and behavior of intestinal bacteria. Enhanced expression Reg3 and Muc2 is induced in vitro by exposure to hyaluronan released by these skin interventions. The change in the colon microbiome after skin wounding is functionally important as these bacteria penetrate the intestinal epithelium and enhance colitis from dextran sodium sulfate (DSS) as seen by the ability to rescue skin associated DSS colitis with oral antibiotics, in germ-free mice, and fecal microbiome transplantation to unwounded mice from mice with skin wounds. These observations provide direct evidence of a skin-gut axis by demonstrating that damage to the skin disrupts homeostasis in intestinal host defense and alters the gut microbiome.",Q16539,PCA,['RK'],['PCA'],[],[],['RK'],['PCA'],,135403803,"The document discusses the effects of skin wounding and the expression of hyaluronidase-1 (HYAL1) on the colon's gene expression, particularly focusing on the host defense genes Reg3 and Muc2. The study uses a transgenic mouse model (K14/HYAL1) to mimic skin wounding and observe its effects on the gut microbiome and intestinal inflammation. The document details how the expression of HYAL1 in the skin leads to increased expression of Muc2 and Reg3 in the colon. This is validated through single-cell RNA sequencing and spatial RNA sequencing, which show higher levels of these genes in the colon of K14/HYAL1 mice compared to controls. The document also mentions that hyaluronan fragments, released due to HYAL1 activity, directly induce the expression of Muc2 and Reg3 in colon epithelial cells. This indicates that the expression of HYAL1 in the skin upregulates the expression of Muc2 and Reg3 in the colon, demonstrating a skin-to-gut communication axis.",Hyaluronidase-1 (HYAL1),Muc2,Increased expression of Muc2 in the colon,"['Disruption of the dermis by skin wounding or the digestion of dermal hyaluronan results in increased expression in the colon of the host defense genes Reg3 and Muc2.', 'Enhanced expression Reg3 and Muc2 is induced in vitro by exposure to hyaluronan released by these skin interventions.', 'Analysis of spatial sequencing data confirmed observations from scRNASeq with Muc2 highest in Cluster 16.', 'Interestingly, even with the substantial inflammatory response induced by DSS in the intestine, K14/HYAL1 mice exhibited the highest expression level of Muc2 in the absence of DSS treatment.', 'Both K14/HYAL1 mice and mice with skin wounding showed an increase in mucin staining in crypts within the transverse colon compared to controls.']",Upregulation,The study investigates the effects of skin wounding and HYAL1 expression on the gut microbiome and intestinal inflammation in a mouse model.
PMC11021867,Multivariate modular metabolic engineering and medium optimization for vitamin B,Vitamin B,P00533,XA,['Genes'],"['Yeast powder', 'XA']",[],[],['Genes'],"['Yeast powder', 'XA']",,135403800,"The document discusses the effects of various strategies on the production of vitamin B12 in Escherichia coli. One of the key components used in the study is yeast powder, which is added to the fermentation medium. The document details how the inclusion of yeast powder increases the vitamin B12 titer by elevating the oxygen transfer rate and augmenting the strain's isopropyl-β-d-1-thiogalactopyranoside (IPTG) tolerance. This indicates that yeast powder has a significant impact on the metabolic processes within E. coli, leading to enhanced production of vitamin B12. The targeted sentences were identified based on their explicit mention of the effect of yeast powder on the production process.",Yeast powder,Escherichia coli,The inclusion of yeast powder in the fermentation medium increases the vitamin B12 titer by elevating the oxygen transfer rate and augmenting the strain's isopropyl-β-d-1-thiogalactopyranoside (IPTG) tolerance.,"['The inclusion of yeast powder to the fermentation medium increased the vitamin B12 titer to 1.52 mg/L.', ""This enhancement was attributed to the effect of yeast powder on elevating the oxygen transfer rate and augmenting the strain's isopropyl-β-d-1-thiogalactopyranoside (IPTG) tolerance.""]",Upregulation,The study focuses on optimizing the production of vitamin B12 in Escherichia coli through various metabolic engineering strategies and medium optimizations.
PMC11036016,"Design, synthesis, biological and computational screening of novel pyridine-based thiadiazole derivatives as prospective anti-inflammatory agents.","In this study, a novel series of pyridine-based thiadiazole derivatives (",P35354,XA,"['Cyclooxygenase-2', 'COX-2']",['XA'],['COX-2'],[],"['Cyclooxygenase-2', 'COX-2']",['XA'],,135403800,"The document discusses the synthesis and evaluation of novel pyridine-based thiadiazole derivatives (NTD1-NTD5) as potential anti-inflammatory agents. The key protein involved in the study is Cyclooxygenase-2 (COX-2). The document details how these compounds, particularly NTD2 and NTD3, exhibit substantial binding affinity to COX-2, with NTD3 showing the most potent anti-inflammatory activity. The in vivo and in silico studies demonstrate that NTD3 has strong and sustained interactions with COX-2, including stable hydrogen bond formations, which contribute to its inhibitory activity. This indicates that NTD3 effectively inhibits COX-2, leading to its downregulation. The targeted sentences were identified based on their explicit mention of the drug's effect on the protein.",NTD3,Cyclooxygenase-2,"NTD3 exhibits strong and sustained interactions with COX-2, including stable hydrogen bond formations, leading to potent inhibitory activity.","['Notably, NTD3, which featured benzoic acid substitution, emerged as the most potent anti-inflammatory agent among the screened compounds.', 'The computational analysis demonstrated that NTD2, and NTD3, exhibited substantial binding affinity, with the lowest binding energies (−8.5 and −8.4, kcal/mol) compared to diclofenac (−8.4 kcal/mol).', 'Molecular dynamics simulations were conducted, extending over 100 ns, to examine the dynamic interactions between the ligands and the target protein.', ""The results solidified NTD3's position as a leading candidate, showing potent inhibitory activity through strong and sustained interactions, including stable hydrogen bond formations.""]",Downregulation,The study focuses on the development of novel anti-inflammatory agents targeting COX-2 to provide more effective treatment options for chronic and acute inflammatory diseases.
PMC11048093,Postnatal Growth and Development of the Rumen: Integrating Physiological and Molecular Insights.,"The rumen plays an essential role in the physiology and production of agriculturally important ruminants such as cattle. Functions of the rumen include fermentation, absorption, metabolism, and protection. Cattle are, however, not born with a functional rumen, and the rumen undergoes considerable changes in size, histology, physiology, and transcriptome from birth to adulthood. In this review, we discuss these changes in detail, the factors that affect these changes, and the potential molecular and cellular mechanisms that mediate these changes. The introduction of solid feed to the rumen is essential for rumen growth and functional development in post-weaning calves. Increasing evidence suggests that solid feed stimulates rumen growth and functional development through butyric acid and other volatile fatty acids (VFAs) produced by microbial fermentation of feed in the rumen and that VFAs stimulate rumen growth and functional development through hormones such as insulin and insulin-like growth factor I (IGF-I) or through direct actions on energy production, chromatin modification, and gene expression. Given the role of the rumen in ruminant physiology and performance, it is important to further study the cellular, molecular, genomic, and epigenomic mechanisms that control rumen growth and development in postnatal ruminants. A better understanding of these mechanisms could lead to the development of novel strategies to enhance the growth and development of the rumen and thereby the productivity and health of cattle and other agriculturally important ruminants.",P05019,PCA,"['Insulin-like growth factor I', 'IGF-I', 'IGF', 'IGF1']",['PCA'],[],[],"['Insulin-like growth factor I', 'IGF-I', 'IGF', 'IGF1']",['PCA'],,135403803,"The document discusses the role of volatile fatty acids (VFAs), particularly butyric acid, in the development of the rumen in post-weaning calves. It mentions that butyric acid stimulates rumen growth and functional development through hormones such as insulin and insulin-like growth factor I (IGF-I). The document provides evidence that butyric acid increases the concentration and/or action of circulating IGF-I, which in turn promotes cell proliferation and metabolism in rumen epithelial cells. This indicates that butyric acid has an upregulating effect on IGF-I, enhancing its expression or activity to stimulate rumen development.",Butyric acid,Insulin-like growth factor I (IGF-I),"Butyric acid increases the concentration and/or action of circulating IGF-I, promoting cell proliferation and metabolism in rumen epithelial cells, thereby stimulating rumen growth and functional development.","['Increasing evidence suggests that solid feed stimulates rumen growth and functional development through butyric acid and other volatile fatty acids (VFAs) produced by microbial fermentation of feed in the rumen and that VFAs stimulate rumen growth and functional development through hormones such as insulin and insulin-like growth factor I (IGF-I) or through direct actions on energy production, chromatin modification, and gene expression.', 'Solid feed stimulates rumen growth and functional development through VFAs, especially butyric acid, produced by rumen fermentation. Butyric acid and other VFAs stimulate rumen growth and functional development through both direct and indirect mechanisms. In direct mechanisms, butyric acid and other VFAs stimulate cell proliferation and metabolism in rumen epithelial cells by altering the expression of genes critical for these processes. In indirect mechanisms, butyric acid and other VFAs stimulate cell proliferation, and metabolism by increasing the concentration and/or action of circulating insulin-like growth factor-I (IGF-I), insulin, and perhaps other hormones and growth factors on the rumen.']",Upregulation,Post-weaning calves' rumen development
PMC11050415,Anti-Atherosclerotic Properties of,The high content of bioactive compounds in,P05362,PCA,"['ICAM1', 'intercellular adhesion molecule 1', 'ICAM-1', 'Intercellular adhesion molecule 1']",['PCA'],[],[],"['ICAM1', 'intercellular adhesion molecule 1', 'ICAM-1', 'Intercellular adhesion molecule 1']",['PCA'],,135403803,"The document discusses the anti-atherosclerotic properties of Aronia melanocarpa extracts and their effects on various proteins in human umbilical vein endothelial cells (HUVECs). The key proteins involved in the study are ICAM-1 (Intercellular Adhesion Molecule 1) and VCAM-1 (Vascular Cell Adhesion Molecule 1). The document details how the extracts, which contain bioactive compounds such as chlorogenic acids and anthocyanins, influence the expression of these proteins. Specifically, the extracts were shown to inhibit the TNF-α-stimulated expression of ICAM-1 and VCAM-1 on the surface of HUVECs. This indicates that the extracts have a downregulating effect on these proteins, which is associated with their anti-inflammatory and anti-atherosclerotic properties. The targeted sentences were identified based on their explicit mention of the extracts' effects on ICAM-1 and VCAM-1 expression.",Aronia melanocarpa extracts,ICAM-1,The extracts were shown to inhibit the TNF-α-stimulated expression of ICAM-1 on the surface of human umbilical vein endothelial cells (HUVECs).,"['As inflammation and cell adhesion molecules located on endothelial cells cause leucocyte adhesion to the endothelium, we investigated the effects of A. melanocarpa fruit extracts on TNF-α induced ICAM-1 and VCAM-1 expression by human umbilical vein endothelial cells (HUVECs).', 'Flow cytometry results showed that all Aronia berry extracts collected from May to October from both farms inhibit TNF-α stimulated ICAM-1 and VCAM-1 molecules.', 'Extracts containing mainly chlorogenic acid, i.e., without anthocyanins (no 1.1 and 1.2), suppressed the surface expression of the TNF-α-stimulated ICAM-1 by 1.31-fold and 1.27-fold, respectively.', 'However, as the content of anthocyanins in berry extracts increases, its anti-inflammatory effect also increases. This is best seen in the case of extracts 1.3 and 1.4 from July and August, as illustrated in Figure 2. These extracts decreased TNF-α-stimulated ICAM-1 surface expression by 1.4-fold (Figure 2a, 1.3;1.4).']",Downregulation,The study investigates the anti-atherosclerotic properties of Aronia melanocarpa extracts in human umbilical vein endothelial cells (HUVECs).
